slug,name,country,region,sub_region,url,notes
thibault_denizot,Thibault Denizot,France,Loire,Sancerre / Pouilly-Fumé,https://veritaswine.com/producer/thibault-denizot/,Sancerre + Pouilly-Fumé Sauv Blanc + Pinot Noir
jerome_bretaudeau,Jérôme Bretaudeau (Domaine de Bellevue),France,Loire,Muscadet,https://veritaswine.com/producer/jerome-bretaudeau/,Founded 2001; 15 ha Ecocert organic + Biodyvin biodynamic
ogereau,Domaine Ogereau,France,Loire,Anjou,https://veritaswine.com/producer/ogereau/,5th-gen Emmanuel Ogereau; trained at U. Bordeaux + Château Latour
guiberteau,Guiberteau,France,Loire,Saumur,https://veritaswine.com/producer/guiberteau/,Romain Guiberteau; 14 ha in Brézé + Montreuil-Bellay; 17 parcels
maunoury,Maunoury,France,Loire,Saumur Puy-Notre-Dame,https://veritaswine.com/producer/maunoury/,Jonathan Maunoury; natural wine; 5 ha since 2017
isabelle_suire,Isabelle Suire,France,Loire,Saumur (Berrie),https://veritaswine.com/producer/isabelle-suire/,4th-gen; 17 ha Chenin Blanc + Cabernet Franc; family est. since 2007
serol,Sérol,France,Loire,Côte Roannaise,https://veritaswine.com/producer/serol/,35 ha; iconic Côte Roannaise estate
terres_dimaginaire,Terres d'Imaginaire,France,Loire,,https://veritaswine.com/producer/terres-dimaginaire/,Mathilde Magne; trained with Sylvain Pataille in Marsannay
marcel_deiss,Marcel Deiss,France,Alsace,Bergheim,https://veritaswine.com/producer/marcel-deiss/,27 ha near Ribeauvillé; co-planted indigenous varieties; organic + biodynamic
bernard_vallette,Bernard Vallette,France,Beaujolais,,https://veritaswine.com/producer/bernard-vallette/,Founded 1868; 7 ha historic; between Lyon + Mâcon
domaine_lafarge_vial,Domaine Lafarge-Vial,France,Beaujolais,Fleurie / Chiroubles,https://veritaswine.com/producer/domaine-lafarge-vial/,Frédéric Lafarge + Chantal Vial; 4.1 ha; founded 2014
domaine_castera,Domaine Castéra,France,South West,Jurançon,https://veritaswine.com/producer/domaine-castera/,10 ha Pyrenees; Petit Manseng Gros Manseng Petit Courbu
domaine_la_calmette,Domaine la Calmette,France,South West,Cahors (Trespotz),https://veritaswine.com/producer/domaine-la-calmette/,Founded 2016 by Maya Sallée + Nicolas Fernandez; 7 ha organic + biodynamic
bordatto,Bordatto,France,Basque (Irouléguy),Pays-Basque,https://veritaswine.com/producer/bordatto/,Pascale + Bixintxo Aphaule since 2001; 6 ha sandstone + black schist
domaine_de_montcalmes,Domaine de Montcalmès,France,Languedoc-Roussillon,Terrasses du Larzac,https://veritaswine.com/producer/domaine-de-montcalmes/,30 km NW of Montpellier; Frédéric Pourtalié since 1998; organic
danjou_banessy,Danjou-Banessy,France,Languedoc-Roussillon,Côtes Catalanes,https://veritaswine.com/producer/danjou-benessy/,Benoît + Sébastien; inherited 2001; dry reds + whites
pedres_blanques,Pedres-Blanques,France,Languedoc-Roussillon,Collioure / Côtes Catalanes,https://veritaswine.com/producer/pedres-blanques/,100% Grenache; schist + granite in Collioure
jean_baptiste_souillard,Jean-Baptiste Souillard,France,Rhône,Cornas,https://veritaswine.com/producer/jean-baptiste-souillard/,Cornas Syrah; granite bedrock; organic uncertified; producer page uncertain — refine on re-scrape
fumey_chatelain,Fumey-Chatelain,France,Jura,Arbois,https://veritaswine.com/producer/fumey-chatelain/,Arbois domaine
domaine_du_gringet,Domaine du Gringet,France,Savoie,,https://veritaswine.com/producer/domaine-du-gringet/,Vincent Ruiz; 10 ha Gringet + 1 ha Altesse + 1 ha Mondeuse
patrick_charlin,Patrick Charlin,France,Savoie,Bugey (Montagnieu),https://veritaswine.com/producer/patrick-charlin/,Bugey; organic; whole-cluster Altesse no malo
domaine_de_chevillard,Domaine de Chevillard,France,Savoie,,https://veritaswine.com/producer/domaine-de-chevillard/,Alpine wine producer
olek_bondonio,Olek Bondonio,Italy,Piedmont,Barbaresco,https://veritaswine.com/producer/olek-bondonio/,Piedmont small-scale producer
valfaccenda,Valfaccenda,Italy,Piedmont,Roero,https://veritaswine.com/producer/valfaccenda/,Roero Nebbiolo / Arneis
vaira_aurelj,Vaira Aurelj,Italy,Piedmont,Barolo area (Vergne),https://veritaswine.com/producer/vaira-aureji/,Brothers Francesco + Giacomo Vaira; boutique 4.35 ha at 450m
emilio,Emilio,Italy,Emilia-Romagna,Modena (Levizzano Rangone),https://veritaswine.com/producer/emilio/,~20 ha; 100% Lambrusco Grasparossa
la_visciola,La Visciola,Italy,Lazio,Piglio,https://veritaswine.com/producer/la-visciola/,Family-run; founded 2005 by Piero Macciocca + Rosa Alessandri; Cesanese; biodynamic; <5000 bottles/yr
massimo_coletti,Massimo Coletti (Via Larghe),Italy,Veneto,,https://veritaswine.com/producer/massimo-colletti/,Via Larghe estate; founded 2002; minimal-intervention; organic
cantine_matrone,Cantine Matrone,Italy,Campania,Mount Vesuvius,https://veritaswine.com/producer/cantine-matrone/,Andrea + Francesco Matrone; family tradition since 1700s
barraco,Barraco,Italy,Sicily,Marsala,https://veritaswine.com/producer/barraco/,~20 ha west coast Sicily around Marsala
vino_di_anna,Vino di Anna,Italy,Sicily,Etna,https://veritaswine.com/producer/vino-di-anna/,Anna Martens + Eric Narioo; northern slopes Etna
schatzel,Schätzel,Germany,Rheinhessen,Nierstein,https://veritaswine.com/producer/schatzel/,Schätzel family since 1350; 12 ha; biodynamic; Kai Schätzel since 2008; Roter Hang
mann,Mann,Germany,Rheinhessen,Eckelsheim,https://veritaswine.com/producer/mann/,Roots to 1699; Andi Mann; natural low-intervention; organic + biodynamic
bastian_beny,Bastian Beny,Germany,Rheinhessen,,https://veritaswine.com/producer/bastian-beny/,Bastian + Gianna Beny; Riesling-led blends
sven_leiner,Sven Leiner,Germany,Pfalz,,https://veritaswine.com/producer/jurgen-leiner/,Weingut Leiner (Jürgen / Sven); 16.5 ha southern Pfalz; Demeter biodynamic since 2011; Respekt
sebastian_furst,Sebastian Fürst,Germany,Franken,Bürgstadt,https://veritaswine.com/producer/sebastian-furst/,Weingut Rudolf Fürst lineage; VDP; 2.4 ha Centgrafenberg-style; organic uncertified
oyster_river,Oyster River Winegrowers,United States,New Hampshire,Warren,https://veritaswine.com/producer/oyster-river/,New England natural wine; producer page uncertain — refine on re-scrape
